case_id,mean_score,uncertainty_width,row_purpose,top_mean_selected_expected,robust_selected_expected_lambda_0_5,robust_selected_expected_lambda_1_0
A,0.93,0.30,high_mean_high_uncertainty_removed,true,false,false
B,0.90,0.25,high_mean_high_uncertainty_removed,true,false,false
C,0.87,0.05,high_mean_low_uncertainty_survives,true,true,true
D,0.85,0.04,high_mean_low_uncertainty_survives,true,true,true
E,0.83,0.02,near_threshold_low_uncertainty_enters,false,true,true
F,0.81,0.01,near_threshold_low_uncertainty_enters,false,true,true
G,0.80,0.00,low_uncertainty_but_too_low,false,false,false
H,0.78,0.00,low_uncertainty_but_too_low,false,false,false
I,0.76,0.00,low_uncertainty_but_too_low,false,false,false
J,0.74,0.00,low_uncertainty_but_too_low,false,false,false
